[2026-03-22 23:08:52,974][__main__][INFO] - ============================================================
[2026-03-22 23:08:52,974][__main__][INFO] - Starting experiment: optimizer = adamw
[2026-03-22 23:08:52,974][__main__][INFO] - ============================================================
[2026-03-22 23:08:52,974][__main__][INFO] - Using torch dtype: bfloat16
[2026-03-22 23:08:52,974][model][INFO] - Loading tokenizer and model: Qwen/Qwen2.5-0.5B
[2026-03-22 23:08:56,403][model][INFO] - Apply LoRA with params: {'r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'o_proj', 'gate_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'task_type': 'CAUSAL_LM'}
[2026-03-22 23:08:56,685][__main__][INFO] - Model+LoRA loaded. Initial memory: 988.00 MiB
[2026-03-22 23:08:56,685][dataset][INFO] - Loading train dataset: Elriggs/openwebtext-100k
[2026-03-22 23:08:59,208][dataset][INFO] - Loaded 1000 / 100000 samples
[2026-03-22 23:08:59,208][__main__][INFO] - Tokenizing dataset...
[2026-03-22 23:09:12,427][__main__][INFO] - Tokenized: 1000 samples
[2026-03-22 23:09:12,427][optimizers.optimizer][INFO] - Creating AdamW with {'lr': 5e-05, 'weight_decay': 0.01, 'eps': 1e-08, 'betas': [0.9, 0.999]}
[2026-03-22 23:09:12,474][__main__][INFO] - Memory stats reset. Starting training...
[2026-03-22 23:09:12,474][optimizers.optimizer][INFO] - Creating SFTTrainer (TRL) with optimizer: adamw
[2026-03-22 23:09:12,521][__main__][INFO] - Starting training...
[2026-03-22 23:09:14,610][utilities.loggers][INFO] - Step 1: loss=2.988, lr=0.0, mem=3912.0MB, t=21.64s
[2026-03-22 23:09:16,063][utilities.loggers][INFO] - Step 2: loss=2.9089, lr=2e-06, mem=3912.0MB, t=23.09s
[2026-03-22 23:09:17,501][utilities.loggers][INFO] - Step 3: loss=2.972, lr=3e-06, mem=3912.0MB, t=24.53s
[2026-03-22 23:09:18,939][utilities.loggers][INFO] - Step 4: loss=2.9986, lr=5e-06, mem=3912.0MB, t=25.96s
[2026-03-22 23:09:20,360][utilities.loggers][INFO] - Step 5: loss=2.954, lr=6e-06, mem=3912.0MB, t=27.39s
[2026-03-22 23:09:21,829][utilities.loggers][INFO] - Step 6: loss=3.0015, lr=8e-06, mem=3912.0MB, t=28.86s
[2026-03-22 23:09:23,329][utilities.loggers][INFO] - Step 7: loss=3.0855, lr=9e-06, mem=3912.0MB, t=30.36s
[2026-03-22 23:09:24,751][utilities.loggers][INFO] - Step 8: loss=3.0887, lr=1.1e-05, mem=3912.0MB, t=31.78s
[2026-03-22 23:09:26,173][utilities.loggers][INFO] - Step 9: loss=2.9149, lr=1.3e-05, mem=3912.0MB, t=33.2s
[2026-03-22 23:09:27,673][utilities.loggers][INFO] - Step 10: loss=2.9457, lr=1.4e-05, mem=3912.0MB, t=34.7s
[2026-03-22 23:09:29,142][utilities.loggers][INFO] - Step 11: loss=3.0152, lr=1.6e-05, mem=3912.0MB, t=36.17s
[2026-03-22 23:09:30,595][utilities.loggers][INFO] - Step 12: loss=2.9419, lr=1.7e-05, mem=3912.0MB, t=37.62s
[2026-03-22 23:09:32,017][utilities.loggers][INFO] - Step 13: loss=2.8663, lr=1.9e-05, mem=3912.0MB, t=39.04s
[2026-03-22 23:09:33,457][utilities.loggers][INFO] - Step 14: loss=3.0847, lr=2e-05, mem=3912.0MB, t=40.48s
[2026-03-22 23:09:34,972][utilities.loggers][INFO] - Step 15: loss=2.9769, lr=2.2e-05, mem=3912.0MB, t=42.0s
[2026-03-22 23:09:36,410][utilities.loggers][INFO] - Step 16: loss=2.8664, lr=2.3e-05, mem=3912.0MB, t=43.44s
[2026-03-22 23:09:37,857][utilities.loggers][INFO] - Step 17: loss=2.9695, lr=2.5e-05, mem=3912.0MB, t=44.88s
[2026-03-22 23:09:39,347][utilities.loggers][INFO] - Step 18: loss=2.8441, lr=2.7e-05, mem=3912.0MB, t=46.37s
[2026-03-22 23:09:40,784][utilities.loggers][INFO] - Step 19: loss=2.9357, lr=2.8e-05, mem=3912.0MB, t=47.81s
[2026-03-22 23:09:42,207][utilities.loggers][INFO] - Step 20: loss=3.0012, lr=3e-05, mem=3912.0MB, t=49.23s
[2026-03-22 23:09:43,683][utilities.loggers][INFO] - Step 21: loss=2.9347, lr=3.1e-05, mem=3912.0MB, t=50.71s
[2026-03-22 23:09:45,238][utilities.loggers][INFO] - Step 22: loss=3.1584, lr=3.3e-05, mem=3912.0MB, t=52.26s
[2026-03-22 23:09:46,745][utilities.loggers][INFO] - Step 23: loss=3.0066, lr=3.4e-05, mem=3912.0MB, t=53.77s
[2026-03-22 23:09:48,167][utilities.loggers][INFO] - Step 24: loss=2.9268, lr=3.6e-05, mem=3912.0MB, t=55.19s
[2026-03-22 23:09:49,589][utilities.loggers][INFO] - Step 25: loss=3.0379, lr=3.8e-05, mem=3912.0MB, t=56.62s
[2026-03-22 23:09:51,006][utilities.loggers][INFO] - Step 26: loss=3.0333, lr=3.9e-05, mem=3912.0MB, t=58.03s
[2026-03-22 23:09:52,431][utilities.loggers][INFO] - Step 27: loss=2.9305, lr=4.1e-05, mem=3912.0MB, t=59.46s
[2026-03-22 23:09:53,899][utilities.loggers][INFO] - Step 28: loss=2.7382, lr=4.2e-05, mem=3912.0MB, t=60.93s
[2026-03-22 23:09:55,384][utilities.loggers][INFO] - Step 29: loss=2.9145, lr=4.4e-05, mem=3912.0MB, t=62.41s
[2026-03-22 23:09:56,931][utilities.loggers][INFO] - Step 30: loss=3.1256, lr=4.5e-05, mem=3912.0MB, t=63.96s
[2026-03-22 23:09:58,400][utilities.loggers][INFO] - Step 31: loss=2.9681, lr=4.7e-05, mem=3912.0MB, t=65.43s
[2026-03-22 23:09:59,871][utilities.loggers][INFO] - Step 32: loss=3.1223, lr=4.8e-05, mem=3912.0MB, t=66.9s
[2026-03-22 23:10:01,316][utilities.loggers][INFO] - Step 33: loss=2.8734, lr=5e-05, mem=3912.0MB, t=68.34s
[2026-03-22 23:10:02,801][utilities.loggers][INFO] - Step 34: loss=2.9744, lr=5e-05, mem=3912.0MB, t=69.83s
[2026-03-22 23:10:04,230][utilities.loggers][INFO] - Step 35: loss=2.8713, lr=5e-05, mem=3912.0MB, t=71.26s
[2026-03-22 23:10:05,667][utilities.loggers][INFO] - Step 36: loss=2.7658, lr=5e-05, mem=3912.0MB, t=72.69s
[2026-03-22 23:10:07,183][utilities.loggers][INFO] - Step 37: loss=2.9737, lr=5e-05, mem=3912.0MB, t=74.21s
[2026-03-22 23:10:08,658][utilities.loggers][INFO] - Step 38: loss=3.0175, lr=5e-05, mem=3912.0MB, t=75.68s
[2026-03-22 23:10:10,099][utilities.loggers][INFO] - Step 39: loss=3.0495, lr=5e-05, mem=3912.0MB, t=77.13s
[2026-03-22 23:10:11,552][utilities.loggers][INFO] - Step 40: loss=3.0263, lr=5e-05, mem=3912.0MB, t=78.58s
[2026-03-22 23:10:12,958][utilities.loggers][INFO] - Step 41: loss=3.0731, lr=5e-05, mem=3912.0MB, t=79.98s
[2026-03-22 23:10:14,349][utilities.loggers][INFO] - Step 42: loss=2.95, lr=5e-05, mem=3912.0MB, t=81.37s
[2026-03-22 23:10:15,724][utilities.loggers][INFO] - Step 43: loss=3.0023, lr=5e-05, mem=3912.0MB, t=82.75s
[2026-03-22 23:10:17,255][utilities.loggers][INFO] - Step 44: loss=2.9448, lr=5e-05, mem=3912.0MB, t=84.28s
[2026-03-22 23:10:18,760][utilities.loggers][INFO] - Step 45: loss=2.8781, lr=5e-05, mem=3912.0MB, t=85.79s
[2026-03-22 23:10:20,213][utilities.loggers][INFO] - Step 46: loss=3.0127, lr=5e-05, mem=3912.0MB, t=87.24s
[2026-03-22 23:10:21,666][utilities.loggers][INFO] - Step 47: loss=3.005, lr=5e-05, mem=3912.0MB, t=88.69s
[2026-03-22 23:10:23,072][utilities.loggers][INFO] - Step 48: loss=3.0606, lr=5e-05, mem=3912.0MB, t=90.1s
[2026-03-22 23:10:24,517][utilities.loggers][INFO] - Step 49: loss=2.9215, lr=5e-05, mem=3912.0MB, t=91.54s
[2026-03-22 23:10:25,970][utilities.loggers][INFO] - Step 50: loss=3.0566, lr=5e-05, mem=3912.0MB, t=93.0s
[2026-03-22 23:10:27,423][utilities.loggers][INFO] - Step 51: loss=2.8834, lr=5e-05, mem=3912.0MB, t=94.45s
[2026-03-22 23:10:28,986][utilities.loggers][INFO] - Step 52: loss=3.0561, lr=4.9e-05, mem=3912.0MB, t=96.01s
[2026-03-22 23:10:30,408][utilities.loggers][INFO] - Step 53: loss=2.9822, lr=4.9e-05, mem=3912.0MB, t=97.43s
[2026-03-22 23:10:31,876][utilities.loggers][INFO] - Step 54: loss=2.9813, lr=4.9e-05, mem=3912.0MB, t=98.9s
[2026-03-22 23:10:33,355][utilities.loggers][INFO] - Step 55: loss=2.9305, lr=4.9e-05, mem=3912.0MB, t=100.38s
[2026-03-22 23:10:34,793][utilities.loggers][INFO] - Step 56: loss=2.7906, lr=4.9e-05, mem=3912.0MB, t=101.82s
