[2026-03-22 23:17:37,306][__main__][INFO] - ============================================================
[2026-03-22 23:17:37,306][__main__][INFO] - Starting experiment: optimizer = muon
[2026-03-22 23:17:37,306][__main__][INFO] - ============================================================
[2026-03-22 23:17:37,306][__main__][INFO] - Using torch dtype: bfloat16
[2026-03-22 23:17:37,306][model][INFO] - Loading tokenizer and model: Qwen/Qwen2.5-0.5B
[2026-03-22 23:17:40,298][model][INFO] - Apply LoRA with params: {'r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'o_proj', 'gate_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'task_type': 'CAUSAL_LM'}
[2026-03-22 23:17:40,579][__main__][INFO] - Model+LoRA loaded. Initial memory: 988.00 MiB
[2026-03-22 23:17:40,579][dataset][INFO] - Loading train dataset: Elriggs/openwebtext-100k
[2026-03-22 23:17:42,749][dataset][INFO] - Loaded 1000 / 100000 samples
[2026-03-22 23:17:42,749][__main__][INFO] - Tokenizing dataset...
[2026-03-22 23:17:56,154][__main__][INFO] - Tokenized: 1000 samples
[2026-03-22 23:17:56,154][optimizers.optimizer][INFO] - Create Muon optimizer
[2026-03-22 23:17:59,655][__main__][INFO] - Memory stats reset. Starting training...
[2026-03-22 23:17:59,655][optimizers.optimizer][INFO] - Creating SFTTrainer (TRL) with optimizer: muon
[2026-03-22 23:17:59,702][__main__][INFO] - Starting training...
[2026-03-22 23:18:01,921][utilities.loggers][INFO] - Step 1: loss=2.988, lr=0.0, mem=3846.0MB, t=24.61s
[2026-03-22 23:18:03,702][utilities.loggers][INFO] - Step 2: loss=2.9089, lr=2e-06, mem=3862.0MB, t=26.38s
[2026-03-22 23:18:05,452][utilities.loggers][INFO] - Step 3: loss=2.9714, lr=3e-06, mem=3862.0MB, t=28.15s
[2026-03-22 23:18:07,233][utilities.loggers][INFO] - Step 4: loss=2.9996, lr=5e-06, mem=3862.0MB, t=29.93s
[2026-03-22 23:18:08,937][utilities.loggers][INFO] - Step 5: loss=2.954, lr=6e-06, mem=3862.0MB, t=31.63s
[2026-03-22 23:18:10,655][utilities.loggers][INFO] - Step 6: loss=3.0019, lr=8e-06, mem=3862.0MB, t=33.35s
[2026-03-22 23:18:12,327][utilities.loggers][INFO] - Step 7: loss=3.0866, lr=9e-06, mem=3862.0MB, t=35.02s
[2026-03-22 23:18:14,143][utilities.loggers][INFO] - Step 8: loss=3.0881, lr=1.1e-05, mem=3862.0MB, t=36.84s
[2026-03-22 23:18:15,942][utilities.loggers][INFO] - Step 9: loss=2.917, lr=1.3e-05, mem=3862.0MB, t=38.64s
[2026-03-22 23:18:17,737][utilities.loggers][INFO] - Step 10: loss=2.9469, lr=1.4e-05, mem=3862.0MB, t=40.43s
[2026-03-22 23:18:19,487][utilities.loggers][INFO] - Step 11: loss=3.0178, lr=1.6e-05, mem=3862.0MB, t=42.18s
[2026-03-22 23:18:21,237][utilities.loggers][INFO] - Step 12: loss=2.9428, lr=1.7e-05, mem=3862.0MB, t=43.93s
