[2026-03-22 23:28:07,593][__main__][INFO] - ============================================================
[2026-03-22 23:28:07,593][__main__][INFO] - Starting experiment: optimizer = hybrid
[2026-03-22 23:28:07,593][__main__][INFO] - ============================================================
[2026-03-22 23:28:07,593][__main__][INFO] - Using torch dtype: bfloat16
[2026-03-22 23:28:07,593][model][INFO] - Loading tokenizer and model: Qwen/Qwen2.5-0.5B
[2026-03-22 23:28:10,560][model][INFO] - Apply LoRA with params: {'r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'o_proj', 'gate_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'task_type': 'CAUSAL_LM'}
[2026-03-22 23:28:10,841][__main__][INFO] - Model+LoRA loaded. Initial memory: 988.00 MiB
[2026-03-22 23:28:10,841][dataset][INFO] - Loading train dataset: Elriggs/openwebtext-100k
[2026-03-22 23:28:12,860][dataset][INFO] - Loaded 1000 / 100000 samples
[2026-03-22 23:28:12,860][__main__][INFO] - Tokenizing dataset...
[2026-03-22 23:28:26,068][__main__][INFO] - Tokenized: 1000 samples
[2026-03-22 23:28:26,068][optimizers.optimizer][INFO] - Create Hybrid optimizer
[2026-03-22 23:28:30,083][optimizers.optimizer][INFO] - Hybrid split: 252 Muon params, 253 AdamW params
[2026-03-22 23:28:30,115][__main__][INFO] - Memory stats reset. Starting training...
[2026-03-22 23:28:30,115][optimizers.optimizer][INFO] - Creating SFTTrainer (TRL) with optimizer: hybrid
[2026-03-22 23:28:30,162][__main__][INFO] - Starting training...
[2026-03-22 23:28:32,224][utilities.loggers][INFO] - Step 1: loss=2.988, lr=0.0, mem=3862.0MB, t=24.63s
[2026-03-22 23:28:33,802][utilities.loggers][INFO] - Step 2: loss=2.9089, lr=2e-06, mem=3878.0MB, t=26.21s
[2026-03-22 23:28:35,365][utilities.loggers][INFO] - Step 3: loss=2.9709, lr=3e-06, mem=3878.0MB, t=27.77s
[2026-03-22 23:28:36,881][utilities.loggers][INFO] - Step 4: loss=2.9993, lr=5e-06, mem=3878.0MB, t=29.29s
[2026-03-22 23:28:38,490][utilities.loggers][INFO] - Step 5: loss=2.9543, lr=6e-06, mem=3878.0MB, t=30.9s
[2026-03-22 23:28:40,068][utilities.loggers][INFO] - Step 6: loss=3.0015, lr=8e-06, mem=3878.0MB, t=32.48s
[2026-03-22 23:28:41,631][utilities.loggers][INFO] - Step 7: loss=3.0856, lr=9e-06, mem=3878.0MB, t=34.04s
[2026-03-22 23:28:43,303][utilities.loggers][INFO] - Step 8: loss=3.0888, lr=1.1e-05, mem=3878.0MB, t=35.71s
[2026-03-22 23:28:44,818][utilities.loggers][INFO] - Step 9: loss=2.9161, lr=1.3e-05, mem=3878.0MB, t=37.23s
[2026-03-22 23:28:46,319][utilities.loggers][INFO] - Step 10: loss=2.9466, lr=1.4e-05, mem=3878.0MB, t=38.73s
[2026-03-22 23:28:47,881][utilities.loggers][INFO] - Step 11: loss=3.0174, lr=1.6e-05, mem=3878.0MB, t=40.29s
[2026-03-22 23:28:49,444][utilities.loggers][INFO] - Step 12: loss=2.9428, lr=1.7e-05, mem=3878.0MB, t=41.85s
[2026-03-22 23:28:50,993][utilities.loggers][INFO] - Step 13: loss=2.8664, lr=1.9e-05, mem=3878.0MB, t=43.4s
